Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
"169087:""2020-07-09T13:12:23Z,2020-07-09T13:08:29Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,%23FelizJueves,15868
169094:""2020-07-09T13:12:23Z",2020-07-09T13:08:29Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,15190
"169165:""2020-07-09T14:13:23Z,2020-07-09T14:08:30Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,%23FelizJueves,19806
169195:""2020-07-09T15:14:22Z",2020-07-09T15:08:38Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,18503
"169220:""2020-07-09T15:14:22Z,2020-07-09T15:08:38Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,%23FelizJueves,23467
169246:""2020-07-09T16:15:23Z",2020-07-09T16:08:33Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,20713
"169273:""2020-07-09T16:15:23Z,2020-07-09T16:08:33Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,%23FelizJueves,27085
169298:""2020-07-09T17:16:24Z",2020-07-09T17:08:34Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,22744
"169355:""2020-07-09T18:17:25Z,2020-07-09T18:13:33Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,24596
169711:""2020-07-10T02:25:28Z",2020-07-10T02:23:24Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,32539
"169718:""2020-07-10T02:25:28Z,2020-07-10T02:23:24Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,%23FelizJueves,46253
169753:""2020-07-10T03:26:29Z",2020-07-10T03:21:37Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,32606
"169885:""2020-07-10T06:29:26Z,2020-07-10T06:26:33Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,%23FelizJueves,46479
169890:""2020-07-10T06:29:26Z",2020-07-10T06:26:33Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,33712
"169923:""2020-07-10T07:30:24Z,2020-07-10T07:26:32Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,%23FelizFinde,
169943:""2020-07-10T07:30:24Z",2020-07-10T07:26:32Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,34580
"170447:""2020-07-10T17:40:16Z,2020-07-10T17:36:37Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,%23FelizFinde,
170491:""2020-07-10T18:41:15Z",2020-07-10T18:36:35Z,Rey Felipe,http://twitter.com/search?q=%22Rey+Felipe%22,%22Rey+Felipe%22,
"170781:""2020-07-11T01:48:12Z,2020-07-11T01:46:32Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,%23FelizFinde,
170822:""2020-07-11T02:49:13Z",2020-07-11T02:41:31Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,24385
"175784:""2020-07-15T17:38:06Z,2020-07-15T17:32:48Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,%23FelizMiercoles,31062
175796:""2020-07-15T18:39:07Z",2020-07-15T18:32:50Z,Could Felipe,http://twitter.com/search?q=%22Could+Felipe%22,%22Could+Felipe%22,
